JWTController.java	32	FB.NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE	Minor
JWTHeaderKIDEndpoint.java	74	FB.OBL_UNSATISFIED_OBLIGATION	Minor
JWTHeaderKIDEndpoint.java	74	FB.ODR_OPEN_DATABASE_RESOURCE	Minor
JWTHeaderKIDEndpoint.java	75	FB.OBL_UNSATISFIED_OBLIGATION	Minor
JWTQuiz.java	53	FB.EI_EXPOSE_REP	Minor
JWTRefreshEndpoint.java	121	PROC_USE.VULNERABLE	Minor
JWTRefreshEndpoint.java	129	SIMILAR_BRANCHES	Major
JWTRefreshEndpoint.java	91	PROC_USE.VULNERABLE	Minor
JWTSecretKeyEndpoint.java	34	FB.MS_PKGPROTECT	Minor
JWTSecretKeyEndpoint.java	38	FB.DMI_RANDOM_USED_ONLY_ONCE	Major
JWTSecretKeyEndpoint.java	38	FB.PREDICTABLE_RANDOM	Minor
JWTVotesEndpoint.java	135	TAINTED_PTR.COOKIE	Major
JWTVotesEndpoint.java	139	PROC_USE.VULNERABLE	Minor
JWTVotesEndpoint.java	160	TAINTED_PTR.COOKIE	Major
JWTVotesEndpoint.java	164	PROC_USE.VULNERABLE	Minor
JWTVotesEndpoint.java	183	TAINTED_PTR.COOKIE	Major
JWTVotesEndpoint.java	187	PROC_USE.VULNERABLE	Minor
LabelDebugService.java	21	FB.EI_EXPOSE_REP2	Minor
LabelService.java	21	FB.EI_EXPOSE_REP2	Minor
Language.java	17	FB.EI_EXPOSE_REP2	Minor
Lesson.java	13	FB.EI_EXPOSE_REP2	Minor
Lesson.java	16	FB.EI_EXPOSE_REP	Minor
LessonConnectionInvocationHandler.java	23	FB.EI_EXPOSE_REP2	Minor
LessonDataSource.java	22	FB.EI_EXPOSE_REP2	Minor
LessonInfoService.java	17	FB.EI_EXPOSE_REP2	Minor
LessonMenuItem.java	49	FB.EI_EXPOSE_REP	Minor
LessonMenuItem.java	58	FB.EI_EXPOSE_REP2	Minor
LessonMenuService.java	26	FB.EI_EXPOSE_REP2	Minor
LessonMenuService.java	64	COLLECTION.WRONG_ARG_TYPE	Normal
LessonMenuService.java	64	FB.GC_UNRELATED_TYPES	Major
LessonProgressService.java	27	FB.EI_EXPOSE_REP2	Minor
LessonResourceScanner.java	23	FB.EI_EXPOSE_REP	Minor
LessonTemplateResolver.java	61	DEREF_AFTER_NULL	Major
LessonTemplateResolver.java	61	FB.NP_NULL_PARAM_DEREF	Minor
LessonTrackerInterceptor.java	29	FB.EI_EXPOSE_REP2	Minor
LogBleedingTask.java	43	PROC_USE.VULNERABLE	Minor
MD5.java	297	FB.ICAST_INTEGER_MULTIPLY_CAST_TO_LONG	Major
MD5.java	376	FB.DM_DEFAULT_ENCODING	Minor
MD5.java	53	FB.PATH_TRAVERSAL_IN	Minor
MD5.java	53	NO_CATCH.LIBRARY	Normal
MailAssignment.java	35	FB.EI_EXPOSE_REP2	Minor
MissingFunctionACYourHash.java	40	DEREF_OF_NULL.RET	Normal
MissingFunctionACYourHashAdmin.java	46	DEREF_OF_NULL.RET	Normal
MvcConfiguration.java	52	FB.PATH_TRAVERSAL_IN	Minor
MvcConfiguration.java	54	FB.RV_RETURN_VALUE_IGNORED_BAD_PRACTICE	Major
NetworkDummy.java	30	FB.EI_EXPOSE_REP2	Minor
PasswordResetLink.java	18	FB.PREDICTABLE_RANDOM	Minor
PasswordResetLink.java	21	FB.DMI_RANDOM_USED_ONLY_ONCE	Major
